description,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,weatherid
Becoming cloudy in the afternoon with late afternoon rain.,13.1,3.9,7.5,13.1,2.1,6.2,3.4,75.8,1.05,100,4.17,43.6,18.6,334.2,1016.9,36.5,12,144.3,12.4,6,0.58,1
Becoming cloudy in the afternoon with rain.,16.3,9.95,12.35,16.3,9.05,12.3,7.55,73.15,0.865,100,18.75,51.65,24.9,331.65,1016.4000000000001,41.1,11.100000000000001,159.3,13.700000000000001,6,0.425,2
Becoming cloudy in the afternoon.,23.79,13.2,17.89,23.665,12.81,17.785,10.085,63.225,0,0,0,40,21.165,221.19,1020.8,35,11.785,250.235,21.6,8.2,0.4075,3
Clear conditions throughout the day with afternoon rain.,26.549999999999997,18.25,22,26.7,18.25,22.049999999999997,12.899999999999999,57.15,0.006,100,4.17,46.4,24.7,173.15,1016.4,15.700000000000001,11.600000000000001,222.9,19.200000000000003,7.5,0.505,4
Clear conditions throughout the day with early morning rain.,13.633333333333333,7.5,10.7,13.633333333333333,5.866666666666666,9.733333333333333,4.533333333333333,67.36666666666667,0.27566666666666667,100,6.946666666666666,38.86666666666667,24.966666666666665,20.733333333333334,1020.5333333333333,15.433333333333334,11.6,150,13.066666666666666,6,0.6,5
Clear conditions throughout the day with late afternoon rain.,19.4,10.6,13.8,19.4,10.6,13.8,7.7,68.1,0.658,100,4.17,41.4,24.8,324.6,1019.9,18.4,10.7,260.8,22.5,9,0.53,6
Clear conditions throughout the day with morning rain.,15.5,7.7,12.3,15.5,5.7,11.9,8.7,79.3,0.005,100,4.17,26.6,18,27.4,1036.2,16,9,108.9,9.4,5,0.84,7
Clear conditions throughout the day with rain.,18,10.2,12.9,18,10.2,12.9,5.2,60.4,2.892,100,8.33,31,21.4,28.7,1022.5,11.7,11.1,179.6,15.7,7,0.46,8
Clear conditions throughout the day.,24.91470588235294,14.509558823529412,19.21764705882353,24.98125,14.012132352941176,19.009191176470587,10.118382352941177,58.78860294117647,0,0,0,39.566911764705885,22.913235294117648,220.81948529411764,1021.0176470588235,8.815073529411764,11.541544117647058,245.86764705882354,21.246323529411764,7.863970588235294,0.5010661764705883,9
Clearing in the afternoon with afternoon rain.,25.4,18.4,20.3,25.4,18.4,20.3,17.4,84.2,0.1,100,4.17,40.7,24.6,331.5,1015.1,51.7,11,279.3,24.1,7,0.04,10
Clearing in the afternoon with early morning rain.,19.22,13.860000000000001,16.06,19.22,13.860000000000001,16.06,11.78,77.26,0.21559999999999999,100,7.502000000000001,44,24.16,154.94,1019.52,46.94,9.94,163.46,14.1,6.4,0.372,11
Clearing in the afternoon with late afternoon rain.,25.2,15.3,19.8,25.2,15.3,19.8,13.4,68.4,0.376,100,4.17,35.3,21.3,321.3,1014.8,41.8,12.3,271.2,23.4,9,0.94,12
Clearing in the afternoon with morning rain or snow.,10.4,1.2,5.6,10.4,-2.2,3.5,3,84.9,0.082,100,4.17,35.3,17.5,37.9,1037.7,46.1,6,127.6,11,5,0.61,13
Clearing in the afternoon.,25.194736842105264,16.187719298245614,20.012280701754385,25.45438596491228,16.087719298245613,20.04561403508772,13.97719298245614,70.6438596491228,0,0,0,41.77894736842105,24.80701754385965,268.19122807017544,1019.3684210526316,39.42280701754386,11.159649122807018,276.84736842105264,23.901754385964914,8.596491228070175,0.48754385964912283,14
Cloudy skies throughout the day with a chance of rain throughout the day.,15.633333333333333,13.3,14.366666666666667,15.633333333333333,13.3,14.366666666666667,14.066666666666666,97.96666666666667,6.048333333333334,100,50,37.56666666666666,14.166666666666666,171.16666666666666,1021.3333333333334,92.63333333333334,3.1333333333333333,50.86666666666667,4.5,2.3333333333333335,0.39999999999999997,15
Cloudy skies throughout the day with rain clearing later.,11.45,8.25,9.45,10.65,6.45,8.3,8.850000000000001,96.19999999999999,0.0625,100,12.5,19.1,16.1,37.45,1029.6,93.15,2.0500000000000003,95.4,8.2,4,0.32,16
Cloudy skies throughout the day with rain.,15.9,14,14.9,15.9,14,14.9,14.3,96.2,7.144,100,66.67,52.6,35,236.7,1019,90.5,6.7,26,2.3,1,0.14,17
Cloudy skies throughout the day.,17.666666666666668,13.433333333333334,15.5,17.666666666666668,12.666666666666668,15.1,11.4,78.2,0,0,0,32.66666666666667,22.066666666666666,36.166666666666664,1028.3333333333333,92,8.733333333333333,84.43333333333334,7.3,3.3333333333333335,0.7533333333333333,18
Partly cloudy throughout the day with a chance of rain throughout the day.,17.080188679245282,12.329245283018867,14.45,17.066037735849058,11.766037735849057,14.254716981132075,12.016037735849057,86.04150943396226,9.413094339622642,100,42.33509433962264,51.53490566037736,28.14811320754717,229.64056603773585,1013.0669811320755,61.3122641509434,10.266037735849057,128.58207547169812,11.106603773584906,4.933962264150943,0.4963207547169811,19
Partly cloudy throughout the day with afternoon rain.,19.479166666666668,13.575,16.283333333333335,19.583333333333332,13.354166666666666,16.195833333333333,12.783333333333333,80.74583333333334,0.3297083333333333,100,5.7316666666666665,38.895833333333336,22.091666666666665,218.51666666666668,1020.8291666666667,57.0875,10.504166666666666,155.3625,13.4125,5.583333333333333,0.4058333333333333,20
Partly cloudy throughout the day with early morning rain.,18.71923076923077,12.307692307692308,15.146153846153846,18.796153846153846,11.634615384615385,14.965384615384615,11.188461538461539,78.63076923076923,0.5286153846153846,100,5.611153846153846,36.542307692307695,21.888461538461538,204.55384615384617,1019.6884615384615,49.36153846153846,10.723076923076922,171.56923076923078,14.803846153846154,6,0.5511538461538461,21
Partly cloudy throughout the day with late afternoon rain.,19.366666666666667,12.7,15.704166666666666,19.6625,12.354166666666666,15.708333333333334,12.029166666666667,80.25416666666666,1.5385,100,7.9875,39.166666666666664,21.433333333333334,178.17083333333332,1019.9458333333333,61.68333333333333,10.295833333333333,132.52916666666667,11.433333333333334,5,0.4425,22
Partly cloudy throughout the day with morning rain.,19.153846153846153,12.592307692307692,15.484615384615385,19.084615384615386,12.269230769230768,15.453846153846154,11.9,81.1923076923077,0.16376923076923078,100,4.17,38.04615384615385,18.076923076923077,161.76923076923077,1022.1923076923077,55.199999999999996,9.107692307692307,147.7153846153846,12.715384615384616,5.230769230769231,0.46,23
Partly cloudy throughout the day with rain clearing later.,19.325,12.7625,15.6,19.325,12.7625,15.6,11.125,76.225,2.508375,100,14.5825,43.0125,24.35,183.825,1018.9375,58.325,10.9625,168.4875,14.5375,6.125,0.44625,24
Partly cloudy throughout the day with rain in the morning and afternoon.,18.744,13.22,15.532,18.82,13.120000000000001,15.484,12.64,83.648,3.33336,100,14.6656,40.476,21.988,257.556,1020.748,56.568,10.652,153.852,13.312000000000001,5.72,0.4276,25
Partly cloudy throughout the day with rain.,17.316666666666666,11.915555555555555,14.235555555555555,17.316666666666666,11.284444444444444,14.06,11.474444444444444,84.29444444444445,5.663555555555556,100,22.77722222222222,47.824444444444445,25.397777777777776,212.91,1016.3244444444445,60.43555555555555,10.573333333333334,133.57333333333332,11.528888888888888,5.011111111111111,0.4692222222222222,26
Partly cloudy throughout the day.,22.724813895781637,14.435980148883374,18.016377171215883,22.96029776674938,14.26302729528536,18.003722084367247,12.198014888337468,70.96004962779156,0,0,0,40.66228287841191,22.9712158808933,257.51761786600497,1020.2362282878412,42.5741935483871,11.360049627791563,233.65136476426798,20.182382133995038,7.555831265508685,0.4792803970223325,27
